loan_id,customer_id,account_id,loan_type,principal_amount,outstanding_balance,interest_rate_pct,tenure_months,emi_amount,disbursement_date,maturity_date,loan_status,installments_paid,installments_remaining,days_past_due,collateral_type,collateral_value,loan_purpose,credit_score_at_origination,annual_income_at_origination,debt_to_income_ratio,is_npa,bank_name,loan_officer_id
LOAN0000018,CUST003488,ACC0005093,AUTO,57454.92,43742.76,16.39,240,816.2,2017-05-08,2037-01-23,REJECTED,24,216,0,PROPERTY,,Auto financing,660,67632.38,0.568,False,Wells Fargo,LO608
LOAN0000019,CUST009340,ACC0006083,PERSONAL,44814.62,43291.6,10.09,240,435.15,2017-11-24,2037-08-11,UNDER_REVIEW,5,235,0,VEHICLE,,Personal financing,666,59713.04,0.255,False,Wells Fargo,LO488
LOAN0000020,CUST003017,ACC0004363,AUTO,51540.6,39046.02,6.87,120,594.98,2025-10-14,2035-08-23,UNDER_REVIEW,30,90,0,VEHICLE,,Auto financing,740,107917.72,0.565,False,ICICI Bank,LO567
LOAN0000021,CUST003298,ACC0009480,PERSONAL,45616.92,15263.39,15.88,120,760.74,2018-01-07,2027-11-16,APPROVED,57,63,0,PROPERTY,,Personal financing,571,94775.15,0.593,False,ICICI Bank,LO420
LOAN0000022,CUST000041,ACC0002918,MORTGAGE,850554.15,468359.63,13.19,36,28736.43,2017-02-11,2020-01-27,DEFAULTED,19,17,121,NONE,,Mortgage financing,683,55486.78,0.224,True,Wells Fargo,LO540
LOAN0000023,CUST005677,ACC0001860,EDUCATION,73383.83,41808.38,8.35,84,1156.61,2023-12-20,2030-11-13,REJECTED,39,45,0,VEHICLE,122406.01,Education financing,591,81891.4,0.449,False,Axis Bank,LO517
LOAN0000024,CUST008462,ACC0000774,BUSINESS,182491.42,0.0,6.55,360,1159.48,2018-12-23,2048-07-18,CLOSED,287,73,0,FD,,Business financing,698,48000.45,0.267,False,Wells Fargo,LO171
LOAN0000025,CUST006289,ACC0004725,AUTO,54911.76,27815.62,6.5,36,1682.99,2022-02-25,2025-02-09,CLOSED,23,13,0,NONE,123571.65,Auto financing,695,109819.4,0.297,False,Bank of America,LO354
LOAN0000026,CUST001190,ACC0003868,PERSONAL,36966.95,0.0,14.96,240,485.68,2023-09-01,2043-05-19,CLOSED,151,89,0,PROPERTY,,Personal financing,611,64509.49,0.595,False,ICICI Bank,LO262
LOAN0000027,CUST005311,ACC0002382,PERSONAL,22777.56,14485.54,6.52,84,338.45,2023-07-03,2030-05-27,DEFAULTED,35,49,118,GUARANTOR,27102.12,Personal financing,800,66594.79,0.431,True,Bank of America,LO251
LOAN0000028,CUST001660,ACC0002823,AUTO,43693.55,24826.1,18.0,48,1283.5,2021-09-03,2025-08-13,DEFAULTED,21,27,178,GUARANTOR,104743.53,Auto financing,822,128510.59,0.352,True,Axis Bank,LO317
LOAN0000029,CUST007136,ACC0001717,BUSINESS,284398.68,67851.43,12.47,24,13450.14,2021-09-06,2023-08-27,UNDER_REVIEW,23,1,0,GUARANTOR,,Business financing,712,46976.68,0.52,False,ICICI Bank,LO456
LOAN0000030,CUST009325,ACC0004622,MORTGAGE,770772.96,497456.36,14.02,180,10275.06,2024-05-16,2039-02-27,APPROVED,38,142,0,GUARANTOR,,Mortgage financing,697,67360.14,0.42,False,Wells Fargo,LO202
LOAN0000031,CUST004462,ACC0004281,BUSINESS,122402.13,66671.89,15.57,60,2948.69,2019-01-31,2024-01-05,REJECTED,27,33,12,NONE,218710.17,Business financing,669,136272.01,0.359,False,Bank of America,LO180
LOAN0000032,CUST006259,ACC0001918,HOME,197817.8,106452.96,11.53,36,6526.06,2017-04-20,2020-04-04,APPROVED,20,16,0,FD,309980.28,Home financing,626,141661.32,0.155,False,Axis Bank,LO151
LOAN0000033,CUST000803,ACC0005526,EDUCATION,25560.45,12623.06,17.15,60,637.31,2025-09-06,2030-08-11,ACTIVE,29,31,0,PROPERTY,30197.14,Education financing,632,15173.3,0.178,False,Bank of America,LO732
LOAN0000034,CUST003515,ACC0009295,HOME,526743.84,170034.59,5.58,36,15924.52,2023-08-27,2026-08-11,CLOSED,32,4,0,VEHICLE,1171423.71,Home financing,483,81902.22,0.268,False,HDFC Bank,LO783
LOAN0000035,CUST001333,ACC0006648,MORTGAGE,259370.11,233897.11,15.05,180,3639.0,2022-03-23,2037-01-03,CLOSED,10,170,0,FD,418940.71,Mortgage financing,594,18322.03,0.217,False,ICICI Bank,LO588
LOAN0000036,CUST009848,ACC0009065,EDUCATION,44768.2,32909.33,8.43,36,1411.77,2020-10-23,2023-10-08,DEFAULTED,12,24,42,PROPERTY,,Education financing,652,41735.59,0.532,False,Citibank,LO183
LOAN0000037,CUST001835,ACC0008861,EDUCATION,30592.22,21317.44,17.88,36,1104.14,2024-06-23,2027-06-08,UNDER_REVIEW,12,24,0,NONE,46172.14,Education financing,648,86521.59,0.565,False,ICICI Bank,LO922
LOAN0000038,CUST005980,ACC0009522,EDUCATION,57910.51,47967.92,16.19,24,2840.74,2017-09-30,2019-09-20,REJECTED,5,19,0,PROPERTY,96333.74,Education financing,695,49895.48,0.309,False,ICICI Bank,LO793
LOAN0000039,CUST000540,ACC0001071,AUTO,13462.39,10245.26,13.92,36,459.59,2019-01-12,2021-12-27,DEFAULTED,10,26,31,FD,,Auto financing,654,205163.32,0.204,False,Citibank,LO992
LOAN0000040,CUST005353,ACC0001976,PERSONAL,22767.17,1398.62,10.22,360,203.51,2024-06-16,2054-01-10,APPROVED,150,210,0,GUARANTOR,,Personal financing,457,56173.5,0.454,False,HDFC Bank,LO931
LOAN0000041,CUST009801,ACC0002110,EDUCATION,36898.8,31627.3,16.41,120,627.56,2017-05-17,2027-03-26,ACTIVE,12,108,0,NONE,,Education financing,850,107236.23,0.448,False,Citibank,LO953
LOAN0000042,CUST002674,ACC0006153,EDUCATION,61395.68,61395.68,17.02,360,876.3,2017-06-17,2047-01-11,ACTIVE,0,360,0,VEHICLE,,Education financing,749,34338.0,0.54,False,HDFC Bank,LO412
LOAN0000043,CUST009479,ACC0000594,PERSONAL,9366.63,6435.9,13.17,12,837.35,2020-10-25,2021-10-20,UNDER_REVIEW,5,7,0,PROPERTY,18508.18,Personal financing,721,84017.64,0.48,False,Axis Bank,LO207
LOAN0000044,CUST002050,ACC0009977,PERSONAL,38118.76,34623.35,4.54,24,1664.48,2018-05-23,2020-05-12,DEFAULTED,3,21,151,NONE,62579.14,Personal financing,573,102478.88,0.357,True,Chase,LO954
LOAN0000045,CUST001579,ACC0006652,AUTO,15152.31,12821.56,13.22,84,277.47,2018-03-07,2025-01-29,DEFAULTED,12,72,152,VEHICLE,23599.11,Auto financing,539,70355.87,0.41,True,HDFC Bank,LO581
LOAN0000046,CUST007252,ACC0000138,BUSINESS,243503.74,156636.09,14.66,120,3878.02,2017-09-28,2027-08-07,APPROVED,32,88,0,FD,,Business financing,555,38574.14,0.286,False,Axis Bank,LO788
LOAN0000047,CUST000153,ACC0004625,BUSINESS,326720.79,239867.13,16.22,84,6530.35,2017-12-12,2024-11-05,DEFAULTED,19,65,127,NONE,,Business financing,596,67682.89,0.527,True,ICICI Bank,LO543
LOAN0000048,CUST003890,ACC0009721,BUSINESS,154730.18,4228.05,12.54,240,1762.32,2022-01-08,2041-09-25,CLOSED,122,118,0,FD,,Business financing,632,96493.02,0.107,False,Citibank,LO364
LOAN0000049,CUST009846,ACC0008620,EDUCATION,15548.25,15055.65,12.76,60,351.86,2018-02-21,2023-01-26,DEFAULTED,2,58,57,NONE,37368.92,Education financing,817,94357.37,0.176,False,Wells Fargo,LO168
LOAN0000050,CUST008270,ACC0005860,EDUCATION,10979.9,4837.15,11.9,12,975.04,2018-04-03,2019-03-29,UNDER_REVIEW,9,3,0,GUARANTOR,,Education financing,775,55791.55,0.399,False,Wells Fargo,LO754
LOAN0000051,CUST003102,ACC0003195,BUSINESS,364164.48,242397.66,13.48,24,17395.26,2017-12-28,2019-12-18,APPROVED,10,14,0,NONE,891634.88,Business financing,630,24064.61,0.58,False,Citibank,LO668
LOAN0000052,CUST006945,ACC0008246,PERSONAL,8174.46,6603.04,9.17,48,204.08,2024-02-12,2028-01-22,DEFAULTED,11,37,22,GUARANTOR,,Personal financing,819,66031.65,0.504,False,Chase,LO591
LOAN0000053,CUST003466,ACC0003546,HOME,288365.72,175965.16,17.87,48,8451.17,2022-07-23,2026-07-02,UNDER_REVIEW,19,29,0,VEHICLE,625001.97,Home financing,669,115119.05,0.351,False,Bank of America,LO546
LOAN0000054,CUST003274,ACC0001811,MORTGAGE,573493.31,296239.55,15.57,180,8251.6,2020-03-13,2034-12-25,CLOSED,48,132,0,PROPERTY,975431.17,Mortgage financing,696,83233.38,0.532,False,ICICI Bank,LO424
LOAN0000055,CUST009180,ACC0009875,PERSONAL,41740.11,30160.19,17.65,180,661.71,2020-06-28,2035-04-11,CLOSED,25,155,0,GUARANTOR,,Personal financing,724,26829.11,0.234,False,Bank of America,LO803
LOAN0000056,CUST008464,ACC0006699,PERSONAL,31778.97,8485.85,14.56,120,504.18,2017-09-05,2027-07-15,ACTIVE,66,54,0,PROPERTY,34179.54,Personal financing,621,64760.73,0.518,False,Wells Fargo,LO263
LOAN0000057,CUST006271,ACC0007280,AUTO,39682.99,36232.83,4.72,180,308.05,2021-05-28,2036-03-10,APPROVED,16,164,0,FD,85613.39,Auto financing,619,55695.69,0.453,False,HDFC Bank,LO654
LOAN0000058,CUST001717,ACC0002340,PERSONAL,26527.55,415.92,11.26,120,369.33,2018-06-02,2028-04-10,APPROVED,101,19,0,GUARANTOR,,Personal financing,643,49000.07,0.475,False,ICICI Bank,LO289
LOAN0000059,CUST005669,ACC0000453,HOME,360204.01,0.0,14.61,120,5725.62,2025-01-31,2034-12-10,ACTIVE,94,26,0,VEHICLE,774885.35,Home financing,706,80203.19,0.456,False,Wells Fargo,LO940
LOAN0000060,CUST004437,ACC0000634,AUTO,46674.21,3721.61,16.1,84,929.71,2024-02-17,2031-01-11,REJECTED,66,18,2,VEHICLE,54727.26,Auto financing,680,137862.52,0.221,False,ICICI Bank,LO712
LOAN0000061,CUST007757,ACC0001912,EDUCATION,52806.17,9639.2,5.02,120,560.61,2021-09-21,2031-07-31,APPROVED,110,10,0,VEHICLE,,Education financing,794,61364.03,0.432,False,HDFC Bank,LO807
LOAN0000062,CUST000301,ACC0000769,BUSINESS,234575.92,0.0,11.6,360,2340.9,2024-11-22,2054-06-18,APPROVED,188,172,0,PROPERTY,,Business financing,821,89612.09,0.565,False,ICICI Bank,LO101
LOAN0000063,CUST009094,ACC0006708,AUTO,14707.98,13865.75,10.75,120,200.53,2024-07-01,2034-05-10,CLOSED,6,114,0,VEHICLE,,Auto financing,797,70399.42,0.389,False,Citibank,LO765
LOAN0000064,CUST003309,ACC0002991,HOME,280314.19,136897.08,6.9,60,5537.34,2019-10-28,2024-10-01,UNDER_REVIEW,37,23,0,FD,,Home financing,590,148469.61,0.418,False,Chase,LO933
LOAN0000065,CUST009713,ACC0008387,EDUCATION,18686.46,0.0,12.42,240,211.25,2020-07-02,2040-03-19,APPROVED,166,74,0,FD,40450.02,Education financing,697,62312.88,0.235,False,ICICI Bank,LO406
LOAN0000066,CUST002589,ACC0006869,HOME,557698.2,462767.24,15.31,24,27123.13,2020-02-17,2022-02-06,UNDER_REVIEW,5,19,0,GUARANTOR,884777.34,Home financing,754,70578.44,0.229,False,Chase,LO863
LOAN0000067,CUST007016,ACC0000026,PERSONAL,48574.24,20950.69,15.02,12,4384.69,2022-11-08,2023-11-03,REJECTED,9,3,14,NONE,65952.11,Personal financing,535,14265.78,0.234,False,Citibank,LO414
LOAN0000068,CUST001824,ACC0006070,PERSONAL,46486.6,22137.77,11.53,60,1023.06,2021-09-11,2026-08-16,REJECTED,34,26,0,VEHICLE,,Personal financing,700,83867.03,0.211,False,ICICI Bank,LO525
LOAN0000069,CUST006317,ACC0006065,MORTGAGE,174875.51,125734.61,9.43,48,4387.58,2018-06-06,2022-05-16,APPROVED,16,32,0,VEHICLE,188467.31,Mortgage financing,749,91911.74,0.11,False,HDFC Bank,LO253
LOAN0000070,CUST000635,ACC0002045,EDUCATION,64452.0,43364.08,17.69,48,1882.85,2023-05-20,2027-04-29,UNDER_REVIEW,16,32,0,GUARANTOR,,Education financing,586,110483.79,0.545,False,Chase,LO637
LOAN0000071,CUST002714,ACC0001597,PERSONAL,26562.81,16695.61,11.9,36,881.0,2023-04-05,2026-03-20,ACTIVE,16,20,0,GUARANTOR,,Personal financing,578,76367.94,0.338,False,Citibank,LO272
LOAN0000072,CUST006118,ACC0009064,HOME,396644.13,87519.51,9.51,60,8332.2,2019-07-07,2024-06-10,CLOSED,53,7,30,GUARANTOR,,Home financing,777,72390.07,0.57,False,Citibank,LO404
LOAN0000073,CUST001488,ACC0001406,PERSONAL,31862.62,9784.87,13.52,60,733.48,2022-12-23,2027-11-27,DEFAULTED,43,17,130,NONE,,Personal financing,708,28686.93,0.14,True,Axis Bank,LO924
LOAN0000074,CUST001958,ACC0007004,BUSINESS,131881.2,65292.72,7.05,180,1189.08,2020-07-04,2035-04-17,DEFAULTED,80,100,45,FD,,Business financing,740,69271.39,0.516,False,Wells Fargo,LO786
LOAN0000075,CUST004935,ACC0008716,MORTGAGE,921573.96,436662.79,4.85,180,7215.94,2022-03-06,2036-12-17,UNDER_REVIEW,96,84,0,FD,1549757.18,Mortgage financing,437,14330.03,0.339,False,Bank of America,LO839
LOAN0000076,CUST009775,ACC0005517,BUSINESS,69364.07,33592.04,16.45,60,1703.43,2025-09-18,2030-08-23,APPROVED,30,30,0,PROPERTY,96856.9,Business financing,558,68298.98,0.527,False,HDFC Bank,LO119
LOAN0000077,CUST000682,ACC0009024,MORTGAGE,430775.26,214437.29,15.28,120,7023.96,2022-01-11,2031-11-20,REJECTED,44,76,0,VEHICLE,560876.9,Mortgage financing,512,53552.87,0.398,False,HDFC Bank,LO672
LOAN0000078,CUST008668,ACC0004159,EDUCATION,65836.1,33119.5,16.11,48,1869.52,2017-02-05,2021-01-15,DEFAULTED,25,23,93,FD,163051.52,Education financing,707,100721.8,0.553,True,ICICI Bank,LO786
LOAN0000079,CUST005659,ACC0001867,BUSINESS,343303.4,343303.4,11.73,48,8995.05,2022-08-15,2026-07-25,CLOSED,0,48,0,VEHICLE,,Business financing,712,49895.31,0.376,False,Bank of America,LO605
LOAN0000080,CUST008990,ACC0003485,HOME,212312.22,164762.91,10.85,360,1997.87,2016-12-25,2046-07-21,ACTIVE,34,326,0,NONE,464092.06,Home financing,664,102167.73,0.533,False,HDFC Bank,LO936
LOAN0000081,CUST005103,ACC0009712,AUTO,50167.87,0.0,13.85,120,774.42,2025-02-23,2035-01-02,DEFAULTED,95,25,155,GUARANTOR,102018.79,Auto financing,644,116700.55,0.266,True,Axis Bank,LO756
LOAN0000082,CUST008133,ACC0007325,HOME,645189.95,645189.95,16.19,36,22743.53,2019-02-06,2022-01-21,DEFAULTED,0,36,121,FD,898791.66,Home financing,667,28803.68,0.178,True,Citibank,LO732
LOAN0000083,CUST005666,ACC0005480,EDUCATION,20053.53,0.0,8.96,360,160.78,2021-10-10,2051-05-06,APPROVED,188,172,0,VEHICLE,,Education financing,767,57426.0,0.117,False,Bank of America,LO139
LOAN0000084,CUST002739,ACC0006037,MORTGAGE,159454.09,85868.59,10.43,120,2145.35,2022-02-04,2031-12-14,CLOSED,49,71,0,PROPERTY,287859.19,Mortgage financing,671,38190.05,0.578,False,Chase,LO715
LOAN0000085,CUST007544,ACC0009287,AUTO,44786.5,41923.91,17.22,12,4089.42,2025-07-30,2026-07-25,UNDER_REVIEW,1,11,0,GUARANTOR,,Auto financing,585,51539.59,0.52,False,Bank of America,LO983
LOAN0000086,CUST003767,ACC0000032,EDUCATION,55487.61,51364.11,7.15,84,841.53,2023-06-15,2030-05-09,UNDER_REVIEW,7,77,8,VEHICLE,,Education financing,681,128022.62,0.319,False,Citibank,LO359
LOAN0000087,CUST009519,ACC0008496,BUSINESS,398315.68,193617.15,15.6,36,13925.07,2022-06-30,2025-06-14,REJECTED,21,15,0,NONE,512189.85,Business financing,641,55533.64,0.504,False,HDFC Bank,LO453
LOAN0000088,CUST005707,ACC0006689,BUSINESS,410136.97,134396.75,14.02,24,19695.73,2019-02-24,2021-02-13,UNDER_REVIEW,20,4,0,VEHICLE,738218.49,Business financing,809,61401.24,0.577,False,Wells Fargo,LO837
LOAN0000089,CUST002435,ACC0006207,AUTO,43810.98,40466.81,18.39,36,1592.46,2025-04-12,2028-03-27,DEFAULTED,3,33,147,FD,,Auto financing,746,75945.35,0.511,True,Citibank,LO859
LOAN0000090,CUST000357,ACC0006047,BUSINESS,267079.04,0.0,9.96,240,2570.3,2024-02-25,2043-11-12,UNDER_REVIEW,231,9,0,VEHICLE,,Business financing,768,90258.38,0.297,False,Bank of America,LO273
LOAN0000091,CUST008496,ACC0001826,EDUCATION,58198.03,468.97,14.95,120,937.16,2021-05-03,2031-03-12,CLOSED,88,32,0,NONE,88588.29,Education financing,662,29270.05,0.405,False,HDFC Bank,LO408
LOAN0000092,CUST004286,ACC0008197,PERSONAL,29578.56,24575.93,13.72,84,549.74,2025-09-16,2032-08-10,ACTIVE,13,71,0,VEHICLE,36537.03,Personal financing,699,37276.07,0.375,False,ICICI Bank,LO536
LOAN0000093,CUST001892,ACC0005291,MORTGAGE,673009.71,521580.11,9.51,24,30904.0,2018-12-28,2020-12-17,APPROVED,7,17,0,NONE,1499278.72,Mortgage financing,519,14718.19,0.113,False,Axis Bank,LO572
LOAN0000094,CUST006660,ACC0000326,HOME,311470.1,28889.96,6.06,180,2638.47,2021-06-25,2036-04-07,REJECTED,153,27,0,GUARANTOR,,Home financing,704,105300.31,0.152,False,HDFC Bank,LO244
LOAN0000095,CUST000880,ACC0006415,BUSINESS,471687.64,312147.26,6.07,84,6906.51,2023-01-18,2029-12-12,DEFAULTED,33,51,170,PROPERTY,,Business financing,708,93686.8,0.257,True,Chase,LO604
LOAN0000096,CUST008807,ACC0001142,MORTGAGE,869741.89,525635.49,17.29,360,12604.63,2018-01-10,2047-08-06,APPROVED,39,321,0,VEHICLE,1328254.58,Mortgage financing,576,76360.95,0.341,False,Axis Bank,LO562
LOAN0000097,CUST007555,ACC0008774,HOME,414062.41,110805.82,17.79,24,20629.7,2019-12-02,2021-11-21,APPROVED,21,3,0,FD,,Home financing,590,70709.45,0.345,False,ICICI Bank,LO339
LOAN0000098,CUST004527,ACC0002482,MORTGAGE,205342.25,174462.7,6.59,36,6301.95,2019-04-29,2022-04-13,CLOSED,7,29,0,NONE,421274.06,Mortgage financing,692,66303.59,0.5,False,Wells Fargo,LO248
LOAN0000099,CUST000583,ACC0009879,AUTO,16432.8,12021.06,7.81,60,331.71,2025-03-15,2030-02-17,APPROVED,19,41,9,PROPERTY,,Auto financing,699,79154.68,0.519,False,ICICI Bank,LO810
LOAN0000100,CUST007975,ACC0005252,MORTGAGE,885911.93,790646.1,10.5,48,22682.34,2017-05-04,2021-04-13,CLOSED,6,42,0,VEHICLE,1375203.55,Mortgage financing,628,77988.91,0.267,False,Axis Bank,LO242
LOAN0000101,CUST009596,ACC0008167,PERSONAL,12395.67,7523.75,7.69,36,386.66,2024-10-14,2027-09-29,UNDER_REVIEW,18,18,0,FD,,Personal financing,780,87013.24,0.446,False,HDFC Bank,LO250
LOAN0000102,CUST003731,ACC0009455,HOME,739887.95,270499.94,5.46,48,17193.7,2021-08-17,2025-07-27,ACTIVE,39,9,0,FD,1083565.82,Home financing,652,88403.05,0.531,False,Axis Bank,LO163
LOAN0000103,CUST000305,ACC0006604,BUSINESS,270736.44,248599.58,6.29,60,5270.68,2025-03-02,2030-02-04,ACTIVE,6,54,0,VEHICLE,,Business financing,646,28147.29,0.329,False,Wells Fargo,LO147
LOAN0000104,CUST006887,ACC0007077,HOME,516868.12,0.0,17.58,360,7612.64,2025-11-13,2055-06-09,REJECTED,125,235,0,PROPERTY,,Home financing,769,116063.49,0.531,False,HDFC Bank,LO136
LOAN0000105,CUST000020,ACC0004054,PERSONAL,44672.11,37771.57,11.03,120,616.12,2023-05-03,2033-03-11,DEFAULTED,16,104,103,VEHICLE,48686.38,Personal financing,689,16612.75,0.337,True,HDFC Bank,LO296
LOAN0000106,CUST001403,ACC0000695,HOME,530183.72,219562.35,5.4,24,23354.99,2017-12-31,2019-12-21,REJECTED,19,5,0,NONE,,Home financing,759,110034.47,0.311,False,HDFC Bank,LO430
LOAN0000107,CUST000609,ACC0001009,BUSINESS,195705.33,106730.68,17.86,36,7061.48,2025-03-28,2028-03-12,REJECTED,18,18,0,FD,463582.69,Business financing,638,74775.87,0.192,False,Wells Fargo,LO849
LOAN0000108,CUST002045,ACC0002252,MORTGAGE,832948.18,442444.64,12.57,36,27893.11,2021-04-10,2024-03-25,APPROVED,20,16,0,VEHICLE,997861.2,Mortgage financing,729,46795.71,0.446,False,Bank of America,LO183
LOAN0000109,CUST006906,ACC0001191,BUSINESS,484507.25,442753.68,10.83,120,6627.55,2025-09-19,2035-07-29,REJECTED,9,111,28,NONE,,Business financing,741,43288.15,0.25,False,Citibank,LO401
LOAN0000110,CUST006581,ACC0007522,MORTGAGE,559903.16,285528.25,9.12,12,48995.52,2019-07-10,2020-07-04,DEFAULTED,8,4,6,FD,,Mortgage financing,819,48066.71,0.136,False,Citibank,LO436
LOAN0000111,CUST002205,ACC0006917,HOME,287326.58,110964.48,5.51,84,4130.26,2019-03-04,2026-01-26,REJECTED,61,23,0,VEHICLE,397211.91,Home financing,756,88780.57,0.469,False,ICICI Bank,LO687
LOAN0000112,CUST004416,ACC0008112,EDUCATION,52695.37,38769.75,10.58,180,585.11,2020-04-24,2035-02-05,DEFAULTED,34,146,140,NONE,123436.33,Education financing,850,57487.81,0.402,True,HDFC Bank,LO502
LOAN0000113,CUST003896,ACC0007288,EDUCATION,56964.8,39960.97,14.81,60,1349.51,2022-08-22,2027-07-27,CLOSED,18,42,0,NONE,,Education financing,686,53079.83,0.156,False,Bank of America,LO858
LOAN0000114,CUST004742,ACC0003818,EDUCATION,15537.69,7443.98,17.35,24,770.83,2020-10-08,2022-09-28,DEFAULTED,15,9,158,VEHICLE,,Education financing,704,203716.32,0.425,True,Citibank,LO148
LOAN0000115,CUST000122,ACC0008316,PERSONAL,2476.67,1757.15,9.93,24,114.21,2024-02-19,2026-02-08,DEFAULTED,9,15,36,PROPERTY,4141.96,Personal financing,687,88789.72,0.28,False,Axis Bank,LO432
LOAN0000116,CUST003400,ACC0000446,AUTO,40529.99,32080.89,17.4,24,2011.69,2017-05-28,2019-05-18,UNDER_REVIEW,6,18,0,VEHICLE,87952.96,Auto financing,747,73897.42,0.323,False,ICICI Bank,LO839
LOAN0000117,CUST007766,ACC0003541,MORTGAGE,221117.97,149665.05,10.04,24,10207.56,2023-11-24,2025-11-13,CLOSED,10,14,0,NONE,369181.67,Mortgage financing,749,48193.21,0.592,False,Axis Bank,LO190
LOAN0000118,CUST004053,ACC0005062,BUSINESS,371392.32,371392.32,7.03,36,11472.61,2022-08-16,2025-07-31,UNDER_REVIEW,0,36,0,FD,,Business financing,563,84969.61,0.21,False,ICICI Bank,LO620
LOAN0000119,CUST005580,ACC0000102,EDUCATION,76450.22,69906.1,14.4,180,1038.75,2021-10-30,2036-08-12,UNDER_REVIEW,9,171,0,FD,,Education financing,647,81361.18,0.27,False,Wells Fargo,LO514
LOAN0000120,CUST006550,ACC0009423,BUSINESS,71538.74,28773.84,14.87,60,1697.02,2024-07-01,2029-06-05,REJECTED,36,24,0,NONE,,Business financing,652,54782.44,0.377,False,Wells Fargo,LO957
