transaction_id,source_account_id,destination_account_id,customer_id,transaction_type,amount,currency,transaction_date,transaction_time,transaction_datetime,channel,category,merchant_name,merchant_city,balance_after_txn,status,reference_number,description,is_flagged_fraud,fraud_score,ip_address,device_id
TXN00000024,ACC0009072,ACC0008877,CUST004662,PAYMENT,1767.88,INR,2025-07-17,12:55:00,2025-07-17 13:10:00,ATM,Investment,Merchant_5987,San Diego,921.34,SUCCESS,REF173298,PAYMENT - ATM,False,0.101,252.218.174.230,DEV39688
TXN00000025,ACC0005928,ACC0004249,CUST004526,PAYMENT,13.14,USD,2026-04-04,08:43:00,2026-04-04 08:58:00,ATM,Dining,Merchant_9547,Denver,21558.11,SUCCESS,REF376044,PAYMENT - Entertainment,False,0.167,239.154.187.206,DEV10655
TXN00000026,ACC0001138,,CUST005564,CREDIT,671.16,USD,2026-02-26,05:09:00,2026-02-26 05:24:00,UPI,Healthcare,,,59651.87,SUCCESS,REF370558,CREDIT - EMI,False,0.113,83.232.178.159,DEV94370
TXN00000027,ACC0003628,,CUST002149,WITHDRAWAL,230.61,EUR,2026-04-10,09:48:00,2026-04-10 10:03:00,UPI,Dining,,,0.0,SUCCESS,REF761228,WITHDRAWAL - Healthcare,False,0.023,73.216.79.240,DEV13983
TXN00000028,ACC0001773,ACC0002852,CUST000790,TRANSFER,311.92,GBP,2026-05-20,14:43:00,2026-05-20 14:58:00,ATM,Transfer,,,30446.78,PENDING,REF403855,TRANSFER - Rent,False,0.011,219.149.1.10,DEV39560
TXN00000029,ACC0006067,ACC0006681,CUST006000,PAYMENT,678.82,EUR,2025-06-14,19:48:00,2025-06-14 20:03:00,UPI,Rent,Merchant_9833,San Jose,9265.09,SUCCESS,REF688243,PAYMENT - Rent,False,0.056,66.57.175.204,DEV63454
TXN00000030,ACC0009866,,CUST000693,DEPOSIT,1064.46,EUR,2026-03-24,04:25:00,2026-03-24 04:40:00,POS,Insurance,,,1903.02,SUCCESS,REF443501,DEPOSIT - Insurance,False,0.203,163.33.174.65,DEV19385
TXN00000031,ACC0004313,ACC0003454,CUST008378,TRANSFER,1275.28,GBP,2026-05-23,16:40:00,2026-05-23 16:55:00,NEFT,Shopping,,,5813.6,SUCCESS,REF785833,TRANSFER - Entertainment,False,0.255,133.185.5.124,DEV37180
TXN00000032,ACC0008393,ACC0001276,CUST002281,PAYMENT,325.06,INR,2025-01-11,23:54:00,2025-01-11 00:09:00,POS,Shopping,Merchant_1765,Philadelphia,28161.04,PENDING,REF368212,PAYMENT - Insurance,False,0.04,84.11.81.157,DEV49388
TXN00000033,ACC0000708,ACC0003443,CUST003207,PAYMENT,220.35,INR,2025-04-09,21:28:00,2025-04-09 21:43:00,BRANCH,Rent,Merchant_1988,Philadelphia,9196.62,SUCCESS,REF378550,PAYMENT - EMI,False,0.283,176.75.45.33,DEV81444
TXN00000034,ACC0007111,,CUST006340,DEBIT,284.39,USD,2026-02-02,14:20:00,2026-02-02 14:35:00,RTGS,Salary,Merchant_7934,Mumbai,9703.07,FAILED,REF352446,DEBIT - Travel,False,0.211,227.79.208.105,DEV50288
TXN00000035,ACC0002846,,CUST008055,CREDIT,609.27,USD,2025-10-15,20:45:00,2025-10-15 21:00:00,MOBILE,Travel,,,609.27,SUCCESS,REF550484,CREDIT - ATM,False,0.152,98.184.67.190,DEV18690
TXN00000036,ACC0000980,,CUST006742,DEPOSIT,645.55,GBP,2025-01-26,21:33:00,2025-01-26 21:48:00,BRANCH,Salary,,,9047.59,FAILED,REF906484,DEPOSIT - ATM,False,0.191,240.71.99.16,DEV29915
TXN00000037,ACC0009457,ACC0001140,CUST002606,PAYMENT,589.79,EUR,2025-03-05,09:50:00,2025-03-05 10:05:00,BRANCH,Travel,Merchant_3267,Chennai,17938.15,SUCCESS,REF972754,PAYMENT - EMI,False,0.032,63.38.177.146,DEV76900
TXN00000038,ACC0003887,,CUST006670,DEPOSIT,106.8,GBP,2026-04-24,16:13:00,2026-04-24 16:28:00,MOBILE,Groceries,,,5673.31,SUCCESS,REF577923,DEPOSIT - Insurance,False,0.046,72.136.114.92,DEV59496
TXN00000039,ACC0006975,,CUST001913,DEBIT,720.19,INR,2026-04-09,12:13:00,2026-04-09 12:28:00,UPI,Entertainment,Merchant_7954,Dallas,0.0,FAILED,REF786902,DEBIT - EMI,False,0.25,142.54.158.134,DEV64725
TXN00000040,ACC0008327,ACC0000429,CUST002910,PAYMENT,270.31,USD,2025-05-04,18:43:00,2025-05-04 18:58:00,RTGS,Shopping,Merchant_4306,Miami,19876.15,PENDING,REF684120,PAYMENT - Shopping,True,0.87,6.130.7.20,DEV26023
TXN00000041,ACC0004796,,CUST004833,WITHDRAWAL,1760.69,USD,2024-12-06,22:09:00,2024-12-06 22:24:00,BRANCH,Groceries,,,35043.46,PENDING,REF300718,WITHDRAWAL - Groceries,False,0.285,198.10.154.81,DEV86576
TXN00000042,ACC0002174,,CUST003454,DEBIT,176.34,EUR,2025-04-02,22:11:00,2025-04-02 22:26:00,MOBILE,Entertainment,Merchant_196,Denver,26132.26,SUCCESS,REF977624,DEBIT - Insurance,False,0.065,96.14.128.95,DEV93907
TXN00000043,ACC0002059,,CUST009827,DEBIT,96.57,EUR,2025-07-09,08:37:00,2025-07-09 08:52:00,UPI,Transfer,Merchant_103,Jacksonville,0.0,PENDING,REF875591,DEBIT - Transfer,False,0.024,208.125.38.122,DEV16332
TXN00000044,ACC0004731,,CUST002428,REFUND,160.88,USD,2025-05-25,06:36:00,2025-05-25 06:51:00,UPI,Groceries,,,16828.7,SUCCESS,REF554526,REFUND - Salary,False,0.199,72.172.212.245,DEV77011
TXN00000045,ACC0001860,,CUST005677,REFUND,329.92,GBP,2025-02-26,11:49:00,2025-02-26 12:04:00,WEB,Healthcare,,,329.92,SUCCESS,REF720207,REFUND - EMI,False,0.151,175.126.56.70,DEV53513
TXN00000046,ACC0003237,,CUST004362,DEPOSIT,849.91,USD,2025-09-30,22:23:00,2025-09-30 22:38:00,WEB,ATM,,,34559.95,SUCCESS,REF872155,DEPOSIT - Entertainment,False,0.227,105.63.50.111,DEV92540
TXN00000047,ACC0009788,,CUST006221,REFUND,830.57,GBP,2025-12-18,15:51:00,2025-12-18 16:06:00,WEB,Travel,,,47210.53,SUCCESS,REF765044,REFUND - Utilities,False,0.275,79.117.40.245,DEV77924
TXN00000048,ACC0001562,,CUST005703,DEPOSIT,787.12,INR,2025-11-05,16:18:00,2025-11-05 16:33:00,NEFT,Transfer,,,787.12,SUCCESS,REF335287,DEPOSIT - Investment,False,0.204,73.137.241.180,DEV96374
TXN00000049,ACC0008946,,CUST008609,DEBIT,1391.08,GBP,2025-01-21,01:33:00,2025-01-21 01:48:00,WEB,Travel,Merchant_2463,Seattle,15926.02,SUCCESS,REF553980,DEBIT - EMI,False,0.014,28.254.152.94,DEV32800
TXN00000050,ACC0000641,,CUST003184,DEBIT,502.76,USD,2026-01-10,23:51:00,2026-01-10 00:06:00,ATM,Investment,Merchant_5931,Phoenix,0.0,FAILED,REF234942,DEBIT - ATM,False,0.028,157.55.231.81,DEV39074
TXN00000051,ACC0000180,,CUST002303,REFUND,2896.92,USD,2025-02-08,01:16:00,2025-02-08 01:31:00,WEB,Insurance,,,981.27,SUCCESS,REF786574,REFUND - ATM,False,0.132,237.16.67.141,DEV40027
TXN00000052,ACC0003442,ACC0006761,CUST005683,PAYMENT,180.85,USD,2026-04-25,14:59:00,2026-04-25 15:14:00,POS,EMI,Merchant_5344,Delhi,0.0,SUCCESS,REF369015,PAYMENT - ATM,False,0.23,151.210.159.223,DEV65367
TXN00000053,ACC0008354,ACC0005157,CUST001157,PAYMENT,1347.17,EUR,2025-12-04,11:49:00,2025-12-04 12:04:00,BRANCH,Shopping,Merchant_7836,Delhi,25306.57,FAILED,REF386115,PAYMENT - Rent,False,0.096,225.188.176.82,DEV15053
TXN00000054,ACC0001071,,CUST000540,DEPOSIT,107.7,USD,2025-09-04,00:00:00,2025-09-04 00:15:00,MOBILE,Groceries,,,9126.61,SUCCESS,REF995478,DEPOSIT - Entertainment,False,0.168,220.26.151.136,DEV29549
TXN00000055,ACC0005084,,CUST005748,CREDIT,1308.59,USD,2025-12-21,12:30:00,2025-12-21 12:45:00,POS,Rent,,,5071.25,SUCCESS,REF488408,CREDIT - Investment,False,0.08,163.89.151.185,DEV40480
TXN00000056,ACC0005356,,CUST002147,DEBIT,1090.38,EUR,2026-02-10,17:19:00,2026-02-10 17:34:00,BRANCH,ATM,Merchant_1155,San Antonio,48795.06,PENDING,REF365212,DEBIT - EMI,False,0.255,215.89.125.143,DEV68180
TXN00000057,ACC0003283,,CUST002621,CREDIT,356.58,USD,2025-04-19,17:51:00,2025-04-19 18:06:00,BRANCH,Entertainment,,,356.58,SUCCESS,REF337481,CREDIT - Transfer,False,0.285,246.81.180.181,DEV60494
TXN00000058,ACC0008065,,CUST000222,WITHDRAWAL,1569.97,GBP,2024-12-29,03:41:00,2024-12-29 03:56:00,ATM,Investment,,,34840.79,SUCCESS,REF643127,WITHDRAWAL - Insurance,False,0.124,177.174.116.136,DEV25504
TXN00000059,ACC0005648,,CUST001926,CREDIT,540.16,USD,2025-04-19,00:48:00,2025-04-19 01:03:00,ATM,Entertainment,,,26575.07,SUCCESS,REF126180,CREDIT - Utilities,False,0.033,207.105.71.119,DEV19776
TXN00000060,ACC0003306,,CUST003253,CREDIT,1486.76,GBP,2025-08-15,17:27:00,2025-08-15 17:42:00,POS,Investment,,,4895.92,PENDING,REF927994,CREDIT - EMI,False,0.191,158.41.219.83,DEV27976
TXN00000061,ACC0005139,,CUST007002,REFUND,495.52,USD,2025-05-02,18:43:00,2025-05-02 18:58:00,ATM,ATM,,,36178.48,SUCCESS,REF973921,REFUND - Groceries,False,0.291,139.96.155.79,DEV55154
TXN00000062,ACC0001485,,CUST000531,DEBIT,1103.95,GBP,2025-05-30,11:43:00,2025-05-30 11:58:00,NEFT,Utilities,Merchant_2033,New York,131.37,SUCCESS,REF153685,DEBIT - ATM,False,0.067,209.164.191.194,DEV13378
TXN00000063,ACC0004916,ACC0002322,CUST009254,PAYMENT,1523.8,USD,2026-04-01,09:34:00,2026-04-01 09:49:00,MOBILE,Shopping,Merchant_2586,Pune,32803.5,FAILED,REF622596,PAYMENT - Rent,False,0.172,81.104.158.235,DEV47283
TXN00000064,ACC0009302,,CUST004210,WITHDRAWAL,637.63,USD,2025-02-23,09:35:00,2025-02-23 09:50:00,ATM,Dining,,,21767.65,SUCCESS,REF846915,WITHDRAWAL - Travel,False,0.216,102.24.106.3,DEV89626
TXN00000065,ACC0004618,,CUST004677,REFUND,386.19,USD,2025-08-15,02:39:00,2025-08-15 02:54:00,POS,Education,,,386.19,SUCCESS,REF686143,REFUND - Groceries,False,0.091,142.78.194.50,DEV87288
TXN00000066,ACC0009291,,CUST004502,WITHDRAWAL,1711.11,INR,2025-11-24,08:47:00,2025-11-24 09:02:00,RTGS,Groceries,,,55365.35,SUCCESS,REF725061,WITHDRAWAL - Dining,False,0.047,59.161.138.127,DEV30916
TXN00000067,ACC0008829,,CUST002980,REFUND,1294.94,INR,2026-03-14,13:22:00,2026-03-14 13:37:00,ATM,Travel,,,13716.35,SUCCESS,REF824139,REFUND - Healthcare,False,0.235,214.242.113.160,DEV54281
TXN00000068,ACC0005399,,CUST004919,REFUND,218.4,USD,2025-08-29,18:39:00,2025-08-29 18:54:00,POS,Utilities,,,19930.23,PENDING,REF395109,REFUND - Groceries,False,0.134,187.194.174.181,DEV99238
TXN00000069,ACC0008573,ACC0002266,CUST007430,PAYMENT,8.34,USD,2024-12-28,00:16:00,2024-12-28 00:31:00,UPI,Salary,Merchant_5432,Atlanta,33245.28,SUCCESS,REF231746,PAYMENT - Entertainment,False,0.147,86.225.68.173,DEV49358
TXN00000070,ACC0001102,,CUST007790,WITHDRAWAL,640.89,USD,2026-03-31,11:36:00,2026-03-31 11:51:00,RTGS,Utilities,,,49876.11,PENDING,REF367498,WITHDRAWAL - Groceries,False,0.046,94.125.16.168,DEV34646
TXN00000071,ACC0005810,,CUST005499,DEPOSIT,520.85,GBP,2025-07-04,05:14:00,2025-07-04 05:29:00,RTGS,Education,,,18941.77,FAILED,REF634714,DEPOSIT - ATM,False,0.184,78.24.155.188,DEV71035
TXN00000072,ACC0006947,,CUST004530,DEBIT,1015.91,USD,2025-09-21,08:12:00,2025-09-21 08:27:00,WEB,EMI,Merchant_3182,Houston,12733.5,SUCCESS,REF250448,DEBIT - Healthcare,False,0.142,114.33.156.90,DEV70132
TXN00000073,ACC0002830,,CUST009894,REFUND,1206.82,GBP,2026-03-27,07:49:00,2026-03-27 08:04:00,WEB,Education,,,5053.05,PENDING,REF370643,REFUND - Dining,False,0.188,134.85.14.87,DEV21390
TXN00000074,ACC0002241,,CUST001042,WITHDRAWAL,43.99,EUR,2026-02-26,12:39:00,2026-02-26 12:54:00,RTGS,Healthcare,,,7567.08,SUCCESS,REF658402,WITHDRAWAL - Utilities,False,0.121,183.173.119.1,DEV36166
TXN00000075,ACC0007363,,CUST008848,DEPOSIT,1339.46,USD,2026-03-13,17:06:00,2026-03-13 17:21:00,WEB,Shopping,,,16499.53,SUCCESS,REF878961,DEPOSIT - Entertainment,False,0.264,169.170.62.37,DEV70146
TXN00000076,ACC0002140,,CUST005356,CREDIT,697.61,GBP,2025-10-17,16:08:00,2025-10-17 16:23:00,POS,Utilities,,,697.61,SUCCESS,REF576493,CREDIT - Transfer,False,0.169,159.103.13.202,DEV48513
TXN00000077,ACC0006591,,CUST006555,DEBIT,872.73,USD,2025-07-16,22:11:00,2025-07-16 22:26:00,ATM,Dining,Merchant_4726,Pune,10115.26,SUCCESS,REF190312,DEBIT - EMI,False,0.036,39.19.191.141,DEV23960
TXN00000078,ACC0001649,,CUST007139,DEBIT,185.31,INR,2025-10-25,07:26:00,2025-10-25 07:41:00,MOBILE,Shopping,Merchant_1023,San Jose,30035.26,PENDING,REF614252,DEBIT - Dining,False,0.129,115.70.238.187,DEV92568
TXN00000079,ACC0009588,,CUST008662,WITHDRAWAL,828.64,USD,2026-01-10,23:05:00,2026-01-10 23:20:00,ATM,Rent,,,17662.37,SUCCESS,REF320106,WITHDRAWAL - Entertainment,False,0.052,227.59.181.21,DEV69997
TXN00000080,ACC0007321,,CUST007193,DEBIT,915.41,USD,2025-10-07,09:51:00,2025-10-07 10:06:00,MOBILE,Travel,Merchant_6312,Dallas,12856.53,FAILED,REF125024,DEBIT - Travel,False,0.206,54.186.56.139,DEV35415
TXN00000081,ACC0005101,,CUST003250,WITHDRAWAL,1499.82,EUR,2025-02-09,08:58:00,2025-02-09 09:13:00,POS,Dining,,,11356.52,PENDING,REF308874,WITHDRAWAL - EMI,False,0.199,108.116.211.143,DEV75542
TXN00000082,ACC0006754,,CUST003226,DEPOSIT,321.87,GBP,2025-05-04,10:21:00,2025-05-04 10:36:00,ATM,Insurance,,,30434.25,SUCCESS,REF355221,DEPOSIT - EMI,False,0.11,200.106.18.173,DEV66191
TXN00000083,ACC0009620,,CUST006953,REFUND,8.19,USD,2025-10-29,04:03:00,2025-10-29 04:18:00,NEFT,Groceries,,,8.19,SUCCESS,REF483466,REFUND - EMI,False,0.009,179.104.40.54,DEV85222
TXN00000084,ACC0001718,,CUST004572,WITHDRAWAL,174.36,GBP,2026-04-14,17:01:00,2026-04-14 17:16:00,UPI,Insurance,,,32825.29,SUCCESS,REF931056,WITHDRAWAL - Travel,False,0.299,123.251.184.14,DEV39428
TXN00000085,ACC0003889,ACC0001897,CUST005841,PAYMENT,958.46,USD,2026-02-19,13:48:00,2026-02-19 14:03:00,UPI,Insurance,Merchant_6189,Portland,2831.3,SUCCESS,REF470745,PAYMENT - Education,False,0.25,47.163.49.86,DEV30745
TXN00000086,ACC0005055,,CUST001451,CREDIT,1433.03,EUR,2026-04-21,16:39:00,2026-04-21 16:54:00,NEFT,Rent,,,395.46,SUCCESS,REF983396,CREDIT - Salary,False,0.262,34.61.77.46,DEV54113
TXN00000087,ACC0009070,,CUST007763,DEBIT,1035.7,INR,2025-09-05,17:02:00,2025-09-05 17:17:00,UPI,Entertainment,Merchant_7865,Seattle,8633.48,SUCCESS,REF830284,DEBIT - Dining,False,0.251,29.170.121.18,DEV21230
TXN00000088,ACC0005946,ACC0000654,CUST005738,TRANSFER,1648.1,USD,2025-08-02,00:31:00,2025-08-02 00:46:00,UPI,Salary,,,0.0,FAILED,REF874906,TRANSFER - Healthcare,False,0.19,10.43.205.24,DEV93251
TXN00000089,ACC0004035,,CUST001647,DEBIT,65.48,INR,2025-08-20,07:09:00,2025-08-20 07:24:00,ATM,Salary,Merchant_2988,Dallas,10295.63,SUCCESS,REF560743,DEBIT - Transfer,False,0.016,130.85.0.25,DEV17805
TXN00000090,ACC0006800,,CUST003081,DEPOSIT,996.93,USD,2025-03-28,12:09:00,2025-03-28 12:24:00,RTGS,Healthcare,,,996.93,SUCCESS,REF951304,DEPOSIT - Shopping,False,0.154,110.181.16.222,DEV95738
TXN00000091,ACC0008145,ACC0002194,CUST004051,TRANSFER,646.01,USD,2026-01-28,16:19:00,2026-01-28 16:34:00,RTGS,Healthcare,,,0.0,FAILED,REF297159,TRANSFER - Transfer,False,0.199,217.10.175.6,DEV23368
TXN00000092,ACC0009913,,CUST002411,CREDIT,948.34,USD,2025-11-03,09:47:00,2025-11-03 10:02:00,BRANCH,Rent,,,194.63,SUCCESS,REF631501,CREDIT - Education,False,0.209,245.234.62.235,DEV42899
TXN00000093,ACC0007779,ACC0003246,CUST006929,TRANSFER,600.28,USD,2024-11-30,05:55:00,2024-11-30 06:10:00,WEB,Investment,,,16190.56,SUCCESS,REF454899,TRANSFER - Education,False,0.298,73.56.135.160,DEV37377
TXN00000094,ACC0000178,ACC0007683,CUST000296,TRANSFER,1590.67,USD,2026-02-04,01:36:00,2026-02-04 01:51:00,UPI,Dining,,,3402.13,PENDING,REF848641,TRANSFER - Travel,False,0.221,103.248.200.68,DEV52541
TXN00000095,ACC0008743,ACC0002954,CUST008286,PAYMENT,401.22,USD,2025-01-23,14:28:00,2025-01-23 14:43:00,POS,Shopping,Merchant_5057,Boston,2525.56,FAILED,REF914399,PAYMENT - Healthcare,False,0.278,23.209.12.213,DEV28449
TXN00000096,ACC0007616,,CUST008734,DEBIT,573.23,USD,2025-03-01,10:12:00,2025-03-01 10:27:00,POS,Salary,Merchant_1220,Chicago,0.0,PENDING,REF120686,DEBIT - Entertainment,False,0.004,124.210.225.219,DEV46067
TXN00000097,ACC0002905,ACC0008595,CUST008539,TRANSFER,380.18,EUR,2026-01-10,02:31:00,2026-01-10 02:46:00,WEB,Rent,,,48011.8,SUCCESS,REF139933,TRANSFER - Utilities,False,0.187,201.16.3.44,DEV21265
TXN00000098,ACC0001121,,CUST003121,REFUND,42.06,INR,2026-02-08,14:37:00,2026-02-08 14:52:00,POS,Insurance,,,42.06,SUCCESS,REF223809,REFUND - Transfer,False,0.097,225.236.212.126,DEV82764
TXN00000099,ACC0007205,,CUST006425,DEPOSIT,7332.41,USD,2025-09-16,10:18:00,2025-09-16 10:33:00,BRANCH,Dining,,,4908.03,SUCCESS,REF523572,DEPOSIT - Groceries,False,0.281,170.196.33.112,DEV64936
TXN00000100,ACC0002886,,CUST004952,REFUND,394.4,USD,2026-01-07,06:31:00,2026-01-07 06:46:00,MOBILE,ATM,,,3441.35,SUCCESS,REF446522,REFUND - ATM,False,0.059,142.139.255.131,DEV28897
TXN00000101,ACC0002218,,CUST000587,REFUND,218.41,USD,2025-02-13,13:08:00,2025-02-13 13:23:00,ATM,Salary,,,7719.1,SUCCESS,REF150727,REFUND - Entertainment,False,0.194,33.44.111.1,DEV51008
TXN00000102,ACC0008075,,CUST009722,REFUND,83.74,GBP,2026-04-13,09:38:00,2026-04-13 09:53:00,MOBILE,Education,,,2790.67,FAILED,REF802302,REFUND - Travel,False,0.119,230.198.83.101,DEV43793
TXN00000103,ACC0008804,,CUST003059,REFUND,329.98,USD,2026-02-13,16:46:00,2026-02-13 17:01:00,ATM,Entertainment,,,41563.21,SUCCESS,REF732977,REFUND - ATM,False,0.264,248.79.183.214,DEV57121
TXN00000104,ACC0006776,,CUST000936,CREDIT,934.9,GBP,2026-02-21,12:25:00,2026-02-21 12:40:00,MOBILE,Education,,,17450.93,SUCCESS,REF151561,CREDIT - Dining,False,0.163,50.185.224.229,DEV95218
TXN00000105,ACC0009050,ACC0000844,CUST004846,TRANSFER,849.18,EUR,2024-12-24,05:12:00,2024-12-24 05:27:00,POS,Investment,,,38804.63,SUCCESS,REF529075,TRANSFER - Travel,False,0.247,191.242.61.144,DEV99123
TXN00000106,ACC0008573,,CUST007430,WITHDRAWAL,361.8,USD,2026-02-21,02:19:00,2026-02-21 02:34:00,MOBILE,Insurance,,,32891.82,SUCCESS,REF316332,WITHDRAWAL - Shopping,False,0.299,190.7.118.57,DEV49552
TXN00000107,ACC0001783,,CUST002468,DEBIT,1405.65,EUR,2026-01-29,09:52:00,2026-01-29 10:07:00,RTGS,Salary,Merchant_8160,San Jose,0.0,SUCCESS,REF940705,DEBIT - Insurance,False,0.158,52.148.246.86,DEV98710
TXN00000108,ACC0005349,ACC0002939,CUST002312,TRANSFER,225.91,USD,2025-11-04,06:32:00,2025-11-04 06:47:00,BRANCH,EMI,,,35798.59,SUCCESS,REF870439,TRANSFER - Salary,False,0.129,55.68.179.43,DEV50848
TXN00000109,ACC0008294,ACC0008306,CUST001181,PAYMENT,1528.58,INR,2025-02-28,07:14:00,2025-02-28 07:29:00,UPI,Utilities,Merchant_4242,Bangalore,51105.69,SUCCESS,REF174916,PAYMENT - Rent,False,0.097,253.254.100.182,DEV93904
